Donor_ID,Recipient_ID,attack_type,TSR,acc_drop
b08f9ce6e5a3136548c7fbd69077e103442cbbf476cbd008c4294e7601cac4b9,63f5675f8196c5f3e2b48db5e8fa45752b978461b4c0575b13545f8348043ebe,fgsm,0.014000000000000012,0.007000000000000006
63f5675f8196c5f3e2b48db5e8fa45752b978461b4c0575b13545f8348043ebe,b08f9ce6e5a3136548c7fbd69077e103442cbbf476cbd008c4294e7601cac4b9,fgsm,0.01100000000000001,0.0030000000000000027
b08f9ce6e5a3136548c7fbd69077e103442cbbf476cbd008c4294e7601cac4b9,63f5675f8196c5f3e2b48db5e8fa45752b978461b4c0575b13545f8348043ebe,pgd,0.013000000000000012,0.008000000000000007
63f5675f8196c5f3e2b48db5e8fa45752b978461b4c0575b13545f8348043ebe,b08f9ce6e5a3136548c7fbd69077e103442cbbf476cbd008c4294e7601cac4b9,pgd,0.010000000000000009,0.0030000000000000027
b08f9ce6e5a3136548c7fbd69077e103442cbbf476cbd008c4294e7601cac4b9,843450760ea39fbb394013a3a94197c4a1083327f2646ec5d26b4242b5423806,fgsm,0.017000000000000015,0.0010000000000000009
843450760ea39fbb394013a3a94197c4a1083327f2646ec5d26b4242b5423806,b08f9ce6e5a3136548c7fbd69077e103442cbbf476cbd008c4294e7601cac4b9,fgsm,0.01200000000000001,0.0020000000000000018
b08f9ce6e5a3136548c7fbd69077e103442cbbf476cbd008c4294e7601cac4b9,843450760ea39fbb394013a3a94197c4a1083327f2646ec5d26b4242b5423806,pgd,0.018000000000000016,0.0050000000000000044
843450760ea39fbb394013a3a94197c4a1083327f2646ec5d26b4242b5423806,b08f9ce6e5a3136548c7fbd69077e103442cbbf476cbd008c4294e7601cac4b9,pgd,0.01200000000000001,0.0010000000000000009
b08f9ce6e5a3136548c7fbd69077e103442cbbf476cbd008c4294e7601cac4b9,a65a7bd6997619e922f8b7b612577c7aa7e96d6536d5de84d80c6969c177a23e,fgsm,0.01200000000000001,0.0020000000000000018
a65a7bd6997619e922f8b7b612577c7aa7e96d6536d5de84d80c6969c177a23e,b08f9ce6e5a3136548c7fbd69077e103442cbbf476cbd008c4294e7601cac4b9,fgsm,0.01100000000000001,0.0030000000000000027
